"ProductType"
"key","code","name","note",
"2","BenefitProduct","Products related to benefits that members can be rewarded on","Products related to benefits that members can be rewarded on",
"5","PartnerMembership","Products related to the Partner Membership Product","Products related to the Partner Membership Product",
"4","ProgrammeProduct","Products related to programmes that a member can participate in","Products related to programmes that a member can participate in",
"1","PurchaseProduct","Products related to purchases that a member can make","Products related to purchases that a member can make",
"3","VitalityProduct","Products related to the Vitality Membership Product","Products related to the Vitality Membership Product",
